ID,Text
train_malayalammale_00001,ഹ്രസ്വദൂര പ്രതിരോധത്തിന് ഒത്തുചേരും
train_malayalammale_00002,ഹ്രസ്വചിത്ര പരമ്പര നിര്മിക്കുന്നത് വിദ്യാലയത്തിലെ അധികാരികളും കുട്ടികളും സംയുക്തമായാണ്
train_malayalammale_00003,ഹൈന്ദവാചാരത്തില് കുഞ്ഞ് ജനിച്ച് ഇരുപത്തിയെട്ടാം നാള് നടക്കുന്ന ചടങ്ങാണ് ഇരുപത്തിയെട്ട് കെട്ട്
train_malayalammale_00004,ഹൃദയാഘാതം ഉണ്ടാകുന്നതിനുള്ള സാധ്യത കുറയ്ക്കാനുള്ള മറ്റുപകരണങ്ങളുമാണ് എന്നായിരുന്നു പെട്ടിയില് രേഖപ്പെടുത്തിയിരുന്നത്
train_malayalammale_00005,ഹൃദയശൂന്യനായ വ്യവസായിയെപ്പോലെ പെരുമാറരുത്
train_malayalammale_00006,ഹൃദയം നിറഞ്ഞു കവിഞ്ഞൊഴുകിയ ആനന്ദാശ്രു കാണ്കെ മനം കുളിര്ത്തു
train_malayalammale_00007,ഹിന്ദുമത മൌലിക വാദികള് പറയുന്നുവെന്നതു കൊണ്ടു മാത്രം ഏകീകൃത നിയമത്തെ എതിര്ക്കേണ്ടതില്ല
train_malayalammale_00008,ഹിന്ദുത്വത്തില് അധിഷ്ഠിതമായി മാത്രമേ അയാള് നിലനില്ക്കു
train_malayalammale_00009,ഹാജിമാര്‍ക്ക് തിരുഗേഹങ്ങളുടെ സേവകന് ആതിരുമരുളും
train_malayalammale_00010,ഹാജരായ പ്രതികളെ പൂര്ണമായി നിരോധിക്കുന്നതു പ്രായോഗികമാവില്ലെന്നും കേന്ദ്രസര്ക്കാരിനും ഇതേ അഭിപ്രായമാണ്
train_malayalammale_00011,ഹാജരാകാന് മുപ്പതോളം പേര്ക്കു സമിതി സൂചന അയച്ചെങ്കിലും പത്തില് താഴെപ്പേര് മാത്രമാണ് ഹാജരായത്
train_malayalammale_00012,ഹര്ത്താല് അനുകൂലികള് കുറുകെയിട്ട തെങ്ങിന് തടിയില് തട്ടി പരിക്കേറ്റ് ചികിത്സയിലായിരുന്ന യാത്രികന് നിര്യാതനായി
train_malayalammale_00013,ഹര്ജി പരിഗണിക്കുന്നതില് നിന്ന് പിന്മാറി
train_malayalammale_00014,ഹര്ജിയിന് മേല് തിങ്കളാഴ്ച നടന്ന വാദത്തില് ഹാജരായി
train_malayalammale_00015,ഹരിത വിപ്ലവ കാലഘട്ടത്തില് നിന്നു തുലോം വ്യത്യസ്തമാണെന്നാണ് കണ്ടെത്തല്
train_malayalammale_00016,സൌഹൃദ മനോഭാവത്തെ ഒതുക്കാന് ശ്രമിക്കരുതെന്നു നിര്ദ്ദേശിച്ചു
